,0,1
429,429.0,3.3305929536571196e-07
430,430.0,3.335989652066964e-07
431,431.0,3.341376175722146e-07
432,432.0,3.346751813207244e-07
433,433.0,3.35212088582266e-07
434,434.0,3.357486564003824e-07
435,435.0,3.3628482173829764e-07
436,436.0,3.368202415413478e-07
437,437.0,3.373546946208296e-07
438,438.0,3.3788850530443316e-07
439,439.0,3.384218123863646e-07
440,440.0,3.38954244027385e-07
441,441.0,3.394855303031242e-07
442,442.0,3.4001573794095624e-07
443,443.0,3.4054495654090495e-07
444,444.0,3.4107333490950337e-07
445,445.0,3.4160135606009544e-07
446,446.0,3.4212866973349824e-07
447,447.0,3.42654688450447e-07
448,448.0,3.431797908381146e-07
449,449.0,3.4370453512681817e-07
450,450.0,3.442289038659346e-07
451,451.0,3.4475297442114203e-07
452,452.0,3.452762691268138e-07
453,453.0,3.4579873556841374e-07
454,454.0,3.4632094387965497e-07
455,455.0,3.468425192482542e-07
456,456.0,3.4736330088353563e-07
457,457.0,3.47882949876958e-07
458,458.0,3.4840126161629063e-07
459,459.0,3.4891881488230564e-07
460,460.0,3.4943594050586843e-07
461,461.0,3.49952556455264e-07
462,462.0,3.504683839614306e-07
463,463.0,3.509832946250184e-07
464,464.0,3.51496930097814e-07
465,465.0,3.520095916853518e-07
466,466.0,3.525217814299856e-07
467,467.0,3.53033936047829e-07
468,468.0,3.5354612143201613e-07
469,469.0,3.540575851816937e-07
470,470.0,3.54568379102546e-07
471,471.0,3.550787526622056e-07
472,472.0,3.555887100746408e-07
473,473.0,3.56098213971364e-07
474,474.0,3.566069031988706e-07
475,475.0,3.5711461370618863e-07
476,476.0,3.576216473419818e-07
477,477.0,3.581281319502858e-07
478,478.0,3.586339960026544e-07
479,479.0,3.591389399201706e-07
480,480.0,3.596432778592464e-07
